period,haz_treated,haz_control,period_length_days,hr,hr_lo,hr_up,S_treated,S_control,delta_rmst_period_days
80,0.0031117832931140768,0.00878388041251887,30,0.35426066236957565,0.3526629384347128,0.35604346976349954,0.7193519643034892,0.5024075950563259,6.442128847546958
81,0.003149144170513545,0.008888123162213138,30,0.3543092408869602,0.35258696991667476,0.35616362206309227,0.7170866212585554,0.497942134473834,6.5083310774148995
82,0.003177464986304141,0.008966896712538362,30,0.3543550336496136,0.35259385061754717,0.356297479314535,0.7148081036273592,0.49347713878518623,6.574334603541641
83,0.0032359512176418754,0.00912990753667864,30,0.35443417193895027,0.3526310211388954,0.3564155523905751,0.712495019474046,0.48897173813661277,6.639928945265191
84,0.003269117448106781,0.009221997422007695,30,0.3544912559078845,0.35264422100385434,0.356526664505659,0.7101657895741943,0.4844624420280823,6.7056984401229975
85,0.0032997859532617607,0.009307519418293733,30,0.35452904312787153,0.35266544629057994,0.35658263485215885,0.7078223944772704,0.4799532984414719,6.771100426383359
86,0.0033317245309392785,0.009396292719208837,30,0.35457862270810653,0.3526898442466969,0.35667142301890503,0.7054641252420423,0.475443516757766,6.836072881073954
87,0.0033590866806971313,0.009469710499337815,30,0.3547190466838475,0.35271489479664775,0.35686604330583466,0.703094410095232,0.4709412042952829,6.900618254528287
88,0.003430876143971861,0.009669726748604814,30,0.35480590436196985,0.3527543240974462,0.3569876944441467,0.7006821802566763,0.46638733153508866,6.964596173998473
89,0.003568105200918747,0.010052837925947486,30,0.35493511655142407,0.3527951386159756,0.35713591270434,0.6981820725251113,0.46169881528045126,7.028845461647629
90,0.003592852720891005,0.010120514238113092,30,0.35500693308256936,0.3528151322659088,0.35727009265470133,0.6956736071661621,0.4570261858466855,7.094497717339802
91,0.0036526495824326364,0.010287180211015396,30,0.35506810491386365,0.3528415832752377,0.35735884313349947,0.6931325552554373,0.45232467511172764,7.1594226395842995
92,0.0037587942437964095,0.010583480994021344,30,0.35515670561696755,0.3529002068124443,0.3574834230024303,0.6905272125965553,0.4475375055095558,7.224236404311289
93,0.003765321751461192,0.010596737231554654,30,0.355328406204971,0.3528933360091037,0.3577935207685463,0.6879271554629895,0.4427950681624056,7.289691212609984
94,0.00380987723539839,0.010720219703309218,30,0.355391712188727,0.352924892483825,0.35789693198285444,0.6853062374537787,0.43804820774816283,7.353962619017518
95,0.00337208110126496,0.009530803903966151,30,0.3538086750333517,0.3527762381594586,0.3548603783552918,0.6829953292418818,0.4338732561796313,7.417740891168477
96,0.0034472703179575757,0.009739918391182914,30,0.35393215625689695,0.3528371850510527,0.35496741089112,0.6806408597160826,0.4296473660723249,7.473662191867515
97,0.0034487058538553417,0.009742600570009785,30,0.3539820635232999,0.35286166956628384,0.35507756056835355,0.6782935295988065,0.42546148339872547,7.52980480931273
98,0.00343321752917323,0.009697695772192892,30,0.35402404961162165,0.352838869307512,0.3551654807032217,0.6759648003630631,0.4213354873699387,7.584961386002432
99,0.003510631741340649,0.009914575984907418,30,0.3540879354482482,0.3528790614857122,0.35524631208922436,0.6735917368788794,0.41715812466527147,7.638879389793731
100,0.0035614245005216824,0.01005632568918714,30,0.35414768878766845,0.35290769117713283,0.35532459547697687,0.67119279076381,0.412963046699747,7.693008366408238
101,0.0036088351820612007,0.010188865613633724,30,0.35419401127758693,0.352935458830508,0.35539637627033066,0.6687705666065556,0.4087554217135265,7.746892321921891
102,0.003657710144343772,0.010325444663572363,30,0.35424238505175326,0.3529678021520633,0.35546507540493266,0.6663243977208403,0.4045348402256883,7.800454346790874
103,0.00366841525952672,0.010352672957728183,30,0.3543447450243542,0.35298473353978715,0.355657455114512,0.6638800431324462,0.4003468233248249,7.853686724854559
104,0.0037167005259479136,0.010486025013696743,30,0.35444322525391614,0.35304614575257853,0.3558171743473835,0.6614125998269694,0.39614877652128677,7.905996594228639
105,0.003579011395658189,0.010097887783765894,30,0.3544316863386094,0.35279233278937744,0.3559598701130552,0.6590453965949568,0.39214851063029865,7.9579146991704794
106,0.0037148705413024333,0.010478983651639313,30,0.35450675989186087,0.3528462725500986,0.3560395375169566,0.6565971282657651,0.38803919279838905,8.006906578939743
107,0.003896129650148576,0.010986389932725648,30,0.35463238370440514,0.3529197866801389,0.35622257622492765,0.6540389407261264,0.38377604291712586,8.056738064021282
108,0.003975419679627919,0.011206384936982113,30,0.3547459508113686,0.352984706455067,0.35637918553959524,0.6514388614499208,0.37947530085060477,8.107886934270018
109,0.0037232549310713637,0.010507592045423376,30,0.35433950185504604,0.3526806507240887,0.35621394583399035,0.6490133884967358,0.3754879291979523,8.158906817979481
110,0.0037296656980991666,0.01052402389505687,30,0.35439540381992,0.3526603622922141,0.3563241193645152,0.6465927855240524,0.37153628525876764,8.205763778963506
111,0.0037603465079344383,0.010608538757130472,30,0.3544641344131341,0.3526290728866676,0.3564106579557483,0.6441613726009514,0.3675948281769197,8.251695007958544
112,0.0038210552927599502,0.010774580968381423,30,0.3546360924822078,0.35262672330604766,0.3566481030004679,0.6416999963787829,0.3636341479371692,8.296996332720951
113,0.0038568942832064904,0.010874431755146888,30,0.35467547822726603,0.35264780183355665,0.35670595739107686,0.639225027331216,0.3596798332115855,8.341975453248413
114,0.003939492491045445,0.011105267368772358,30,0.3547408954892132,0.3526935940545308,0.3567643331321205,0.6367068051359563,0.35568549249661535,8.386355823588916
115,0.004156574960189698,0.0117115851470639,30,0.35491138970472785,0.35275197208955356,0.35706324232653947,0.6340602855727459,0.35151985156566584,8.43063937918023
116,0.004144756490289755,0.011676316852996216,30,0.35497122444276463,0.35267179778310115,0.3571711034566611,0.6314322600888832,0.3474153943986669,8.4762130202124
117,0.0046133472151837305,0.012984731884905757,30,0.35529014045692897,0.3529492641806291,0.35750756659412897,0.6285192438302251,0.34290429864971145,8.520505970706488
118,0.004725600380649136,0.013291156481103754,30,0.3555447103017406,0.352894047418327,0.3578311244949898,0.6255491130523356,0.338346703958315,8.56844835541541
119,0.004769859892089751,0.013413840938068909,30,0.35559239997790165,0.3529176387076754,0.35789982031721035,0.622565331427455,0.3338081750894983,8.616072272820618
120,0.003829088755797394,0.010829344851139499,30,0.35358452505042215,0.35282390846520817,0.35429744647919353,0.6201814735171368,0.33019325124732457,8.662714690138701
121,0.004055889764556877,0.011467544138048982,30,0.35368425146056787,0.35290803569123885,0.3543705135641292,0.6176660858265309,0.32640674556456,8.699646668094367
122,0.004015404668712669,0.011356231239415098,30,0.35358602550959345,0.3526844850954091,0.3543610992162998,0.6151859065417976,0.32269999508382397,8.737780207859128
123,0.004148780826665159,0.011731075366285782,30,0.3536573329490696,0.35279984025070094,0.3545011774500953,0.6126336350479024,0.31891437712079557,8.77457734373921
124,0.004268584456816606,0.01206757740091514,30,0.35372339575737044,0.3528515811566654,0.3545426247326278,0.6100185566356138,0.31506585319062574,8.811577737813204
125,0.0043650772908964755,0.012338067630020428,30,0.35378937948723566,0.3528957858309014,0.35465756659423225,0.6073557784870182,0.3111785493860497,8.848581103349641
126,0.004612474734377702,0.013029367804817057,30,0.35400602726652897,0.3530007476883133,0.3549180857008189,0.6045543653039686,0.3071240896131295,8.885316873029053
127,0.004723887389191278,0.013336620402222927,30,0.35420423216093844,0.35296562670817616,0.35499347720426655,0.6016985185616286,0.30302809221358085,8.922908270725172
128,0.004482624774441782,0.012660585747452376,30,0.35406140472954,0.35241521205688164,0.35498898435617476,0.5990013298755793,0.2991915790682239,8.960112790441432
129,0.0047261728217365,0.013344926921413997,30,0.3541550170763862,0.352476533719156,0.355104375570649,0.5961703460701373,0.295198889310056,8.994292524220661
130,0.004770536144773806,0.013468848019961795,30,0.35419036117294744,0.35249627157238395,0.35514860431412126,0.5933262938857674,0.29122290033427733,9.02914370280244
131,0.004926088042795006,0.013902252825803475,30,0.3543373944150886,0.3523725537618758,0.3553582250675368,0.5904035163239808,0.28717424594516644,9.063101806544703
132,0.004972314722695015,0.014031245533731324,30,0.3543744360214848,0.35239131274532737,0.35540483633550085,0.5874678442274321,0.28314483358934567,9.09687811136443
133,0.005305763892488391,0.014966707482201847,30,0.3545044158040715,0.35256735090485875,0.3554700429607027,0.5843508785515322,0.27890708768991723,9.129690319142595
134,0.005355540496747756,0.01510547430067037,30,0.35454302130122994,0.35258794481686145,0.3555176818060913,0.5812213637571393,0.27469406384454237,9.16331372584845
135,0.005405781044435121,0.015245503943653963,30,0.35458198459128737,0.35260873166546486,0.3555657621417642,0.5780794083263202,0.27050621441090206,9.195818997377907
136,0.0054564898025045066,0.015386807462336392,30,0.35462130892719784,0.35262971324385867,0.35561428798073047,0.5749251239297498,0.26634398737239606,9.227195817462544
137,0.005043420810192204,0.014243987763801747,30,0.354073655062317,0.3526855624735574,0.354961692863735,0.5720255345954202,0.26255018687530146,9.257434096720612
138,0.005307779602120021,0.01498268633066222,30,0.35426087718713006,0.3526639768664583,0.35514492429436395,0.5689893491310027,0.2586164797792921,9.284260431603562
139,0.005357594269977806,0.015121749096647093,30,0.35429725990928734,0.35268545960733144,0.35518960311145775,0.5659409350544201,0.2547057462598115,9.31118608055132
140,0.005962159126482364,0.016819565917679715,30,0.35447758614360564,0.3531874247848437,0.35523469751767306,0.5625667051434354,0.2504217061709828,9.337055663838258
141,0.006018096408156237,0.01697552803051321,30,0.3545160066502094,0.3532138380275013,0.3552802113193122,0.5591811244758634,0.24617066547842836,9.36434996917358
142,0.006074555100536797,0.01713290968451003,30,0.3545547844700798,0.353240498482364,0.3553261483564201,0.5557843479240547,0.24195304569981074,9.390313769923052
143,0.00613153999990512,0.017291723304770575,30,0.35459392287485325,0.3532674084424318,0.355372512503064,0.5523765339634372,0.2377692605808231,9.41493906672732
144,0.005581133175216805,0.015756469940898927,30,0.35421215514332355,0.35329457022158295,0.3550825036151927,0.5492936469645227,0.2340228563736116,9.438218201478424
145,0.0056335173827952185,0.015902745521626887,30,0.3542480998098055,0.3533219861547533,0.3551266017155532,0.546199191656089,0.2303012504424578,9.458123717727332
146,0.005686390291481309,0.01605035567126578,30,0.35428437898490894,0.35334965859812295,0.35517111008451324,0.5430932898754408,0.2266048334613191,9.476938236408936
147,0.007447751827486747,0.02096682341578002,30,0.3552160324811736,0.3552160324811736,0.3552160324811736,0.5390484658332753,0.22185364993297338,9.49465369242365
148,0.007517546574873724,0.02116060780203221,30,0.3552613726979883,0.3552613726979883,0.3552613726979883,0.5349961438852594,0.21715909185729237,9.515844477009056
149,0.007587990386043408,0.021356144157977246,30,0.35530713456104085,0.35530713456104085,0.35530713456104085,0.5309365982888877,0.21252141098637262,9.535111560839011
150,0.007659089202894504,0.021553447597702065,30,0.35535332193032,0.35535332193032,0.35535332193032004,0.5268701075215118,0.20794084189128814,9.552455619075454
151,0.007730849019949028,0.021752533352220917,30,0.3553999387000004,0.3553999387000004,0.3553999387000005,0.5227969542671387,0.203417601792759,9.567877968906709
152,0.0078032758847848506,0.021953416770126508,30,0.35544698879872283,0.35544698879872283,0.3554469887987229,0.518717425401267,0.19895189040222291,9.581380574231389
