period,hazard_rt,hazard_chemo,hr,period_bin
71,0.006099705269840104,0.002700221631693519,0.4426806726293354,60+
72,0.006191042764961923,0.002729292331763959,0.44084533662250436,60+
73,0.006330282770227264,0.002793467733400007,0.44128640612048337,60+
74,0.006392093012183829,0.002847808612854778,0.4455205215923223,60+
75,0.006493506979212011,0.002891316620789,0.4452627262964553,60+
76,0.006472138100598513,0.002892171279453919,0.44686488985555867,60+
77,0.006657120928650026,0.0029821290630385943,0.4479607768884754,60+
78,0.006818138084502822,0.0030529960283240125,0.4477756229759076,60+
79,0.006855328714965913,0.00304883198414583,0.44473899223678437,60+
80,0.006990087732424117,0.0031117832931140768,0.4451708493843082,60+
81,0.007146238447350374,0.003149144170513545,0.4406715776019425,60+
82,0.007280147166029935,0.003177464986304141,0.4364561476353918,60+
83,0.007445678466852056,0.0032359512176418754,0.434607971865591,60+
84,0.007560431574737682,0.003269117448106781,0.4323982587224469,60+
85,0.00763061097652006,0.0032997859532617607,0.43244059530952894,60+
86,0.007719963785030527,0.0033317245309392785,0.43157255962776564,60+
87,0.007701669157350737,0.0033590866806971313,0.4361504775222789,60+
88,0.007872685689309898,0.003430876143971861,0.43579488364822605,60+
89,0.00815290851471423,0.003568105200918747,0.4376481343411485,60+
90,0.008175933575384651,0.003592852720891005,0.4394425037537041,60+
91,0.008307924468022117,0.0036526495824326364,0.43965849671503204,60+
92,0.008539809084371955,0.0037587942437964095,0.440149680942527,60+
93,0.008370089707032983,0.003765321751461192,0.449854408166901,60+
94,0.008455368425901213,0.00380987723539839,0.45058678031434396,60+
95,0.0071374753967728384,0.00337208110126496,0.47244731698684717,60+
96,0.007158758612048003,0.0034472703179575757,0.48154582446122857,60+
97,0.007194545390181146,0.0034487058538553417,0.4793500724259812,60+
98,0.007129878167346881,0.00343321752917323,0.4815254130002581,60+
99,0.007317527184565738,0.003510631741340649,0.4797565697802036,60+
100,0.00745376171712963,0.0035614245005216824,0.47780230113032807,60+
101,0.007563560150623392,0.0036088351820612007,0.4771344591956156,60+
102,0.007678461976950156,0.003657710144343772,0.476359739140962,60+
103,0.007550596079659556,0.00366841525952672,0.4858444579506791,60+
104,0.007653787701543748,0.0037167005259479136,0.48560277223240267,60+
105,0.007292433293797387,0.003579011395658189,0.49078424875032234,60+
106,0.00753356734354631,0.0037148705413024333,0.49310909054059315,60+
