period,haz_treated,haz_control,period_length_days,hr,hr_lo,hr_up,S_treated,S_control,delta_rmst_period_days
41,0.0039712764659515795,0.007393757219199601,30,0.5371120998724764,0.5362414414237239,0.5378797184512228,0.813192959879821,0.6650387349417484,4.3932825951669034
42,0.003991268529589182,0.007430576461811171,30,0.5371411693429136,0.5362355448961208,0.537918905631685,0.8099472884105692,0.6600971137716976,4.444626748142179
43,0.0038738579033513448,0.007214399379953656,30,0.5369619422672203,0.5361049619675488,0.5377898125852879,0.8068096677060619,0.6553349095633938,4.495505239166149
44,0.0038725202964797908,0.007211117944242221,30,0.5370207957244463,0.5361109046410786,0.5378750632122075,0.803685280892474,0.6506092122375529,4.544242744280043
45,0.003891801354817347,0.007246527602569275,30,0.5370574112541155,0.5361121364308642,0.5379292103673553,0.80055749742745,0.6458945546225876,4.592282059647635
46,0.0039056261087921738,0.0072714331552298115,30,0.5371191655641009,0.5361163201153075,0.5380203352795189,0.797430819163908,0.6411979755433225,4.639888284145871
47,0.003944876216332491,0.00734399022829511,30,0.5371570622648125,0.5361485901360533,0.5380659435417128,0.7942850532912178,0.6364890238765297,4.686985308617566
48,0.0039915781997249015,0.007430267631425186,30,0.5372051718356858,0.5361823055269607,0.5381165995092111,0.7911146023881331,0.6317597400846625,4.733880882440642
49,0.004043495014093333,0.007525918682082318,30,0.5372759373178018,0.5362277008591343,0.5382332944397851,0.7879157344378003,0.6270051676541719,4.780645869104118
50,0.004083897601599691,0.007600490060210309,30,0.5373203003026739,0.5362435679288065,0.5383006089226586,0.7846979672596671,0.6222396211097159,4.827317003508851
51,0.004140756023267533,0.0077054812759333995,30,0.5373779878228234,0.5362833895147504,0.5383733290273317,0.7814487244252908,0.6174449653601111,4.873750384498537
52,0.004193077301352278,0.007802008788645125,30,0.5374356034377701,0.536314805941849,0.5384430424595903,0.7781720495167324,0.6126276543138668,4.920112771955392
53,0.004239907608913957,0.007888398763872833,30,0.5374864704269035,0.536348326066966,0.5385126637484976,0.7748726719229422,0.6077950030828629,4.966331856085967
54,0.004286358731241072,0.00797384953988406,30,0.5375519954071514,0.5363941454381383,0.5385959987185152,0.7715512896800452,0.6029485371771869,5.012330065202377
55,0.004240730765187796,0.007888909932787512,30,0.5375559869891114,0.5363574745812792,0.5386511820782182,0.7682793483889786,0.5981919304732901,5.0580825750857485
56,0.004267182119955092,0.007937966082600344,30,0.5375661820108502,0.536325163747401,0.5386553000296578,0.7650009604904023,0.593443503218308,5.102622537470655
57,0.004294637535884665,0.007988345886805989,30,0.5376128671366041,0.5363384628818503,0.5387205824510616,0.7617155586504925,0.5887028712503223,5.146723718162831
58,0.004181038264565042,0.007779787744339521,30,0.5374231793929231,0.5362600753779453,0.5386851235610989,0.7585307967530602,0.5841228878675115,5.190380622005105
59,0.004236060335470387,0.007881425652022985,30,0.537473868624655,0.5363000806062419,0.5387519216199358,0.7553176145317019,0.5795191667551388,5.232237266566461
60,0.004284106579939905,0.007969511174395592,30,0.5375620268535243,0.5363340307219367,0.5388878161733646,0.752081753369342,0.5749006822799073,5.273953433296892
61,0.002467477124299781,0.008093197900268911,30,0.3048828355251012,0.30381059571373,0.30604052179194385,0.7502260088473,0.5702478972852164,5.315432132683041
62,0.0024386963063561316,0.008000068134514099,30,0.30483444207619254,0.3035927944031974,0.3059621267780035,0.7483964354505918,0.5656858752533712,5.399343346862507
63,0.0024752654832110015,0.008118549208516897,30,0.3048901250255752,0.3036326575025154,0.3060376707391113,0.7465439555861628,0.5610933266385638,5.481316805916617
