hpv_clean,CATE_3m,CATE_6m,CATE_12m,CATE_24m,CATE_60m,CATE_156m,group,ecog_ps,primary_site_group,t,n,m,smoking_status_clean,pathology_group,age_group,smoking_py_group
,-0.007529485546345863,-0.02673738351127219,-0.012248545849120761,-0.03567446002950479,-0.042532730772679835,-0.05786974514539164,pathology_group,,,,,,,Other_epithelial,,
,-0.004356896831515343,-0.018075882854010846,0.044183328687036436,0.01216224972032982,-0.022266521772191742,-0.009291190186945473,pathology_group,,,,,,,Other_rare,,
,-0.007137030848933878,-0.03241368560638337,-0.018935112899857588,-0.045640805907145095,-0.05898127816609702,-0.056028859997266096,pathology_group,,,,,,,SCC,,
,-0.014812212797302705,-0.031513386612165614,-0.022064797142359805,-0.04322517892030532,-0.013411358224618477,-0.056146816826476646,age_group,,,,,,,,≤50,
,-0.008421786610925852,-0.04983369210844286,-0.05310321338754943,-0.08068851620290288,-0.06949958655431611,-0.0951003484414106,age_group,,,,,,,,51-60,
,-0.002916600923151043,-0.028216432921073335,-0.03087409172922304,-0.06141494230048082,-0.055743126181473215,-0.09520582917344163,age_group,,,,,,,,61-70,
,-0.00565424225285768,-0.010924279970967055,0.04511381886643751,0.02467076287453467,-0.0584270910150269,0.054386960085672835,age_group,,,,,,,,>70,
,-0.002728043026783825,-0.016667702663128024,-0.010827445860894416,-0.03413074477395582,-0.05140781586773116,-0.04070749468894861,smoking_py_group,,,,,,,,,0–5
,-0.004826744419513632,-0.019816068881633078,0.0033108381718336423,-0.027170769000683256,-0.03672804025771651,-0.04573621875477935,smoking_py_group,,,,,,,,,6–20
,-0.008208497114023347,-0.05283821762702799,-0.02591862451641027,-0.049642743426835834,-0.0444771573424367,-0.05775460307149895,smoking_py_group,,,,,,,,,21–40
,-0.01343564852054439,-0.03349075299790561,-0.03681277345774222,-0.06525438957467856,-0.08731121758674469,-0.07454513184063286,smoking_py_group,,,,,,,,,>40
